"","Count","Frequency","severity"
"CE_01",6411,40.6,2.83
"CE_02",7664,48.54,3.08
"CE_03",9504,60.19,2.85
"CE_04",6250,39.58,2.99
"CE_05",13090,82.9,3.5
"CE_06",7447,47.16,2.96
"CE_07",1734,10.98,3.32
"CE_08",13531,85.69,3.01
"CE_09",13895,88,3.18
"CE_10",12937,81.93,2.95
"CE_11",2871,18.18,3.66
"CE_12",2225,14.09,3.75
"CE_13",3789,24,2.97
"CE_14",7986,50.58,2.9
"CE_15",14215,90.03,3.07
"CE_16",12613,79.88,3.14
"CE_17",3102,19.65,3.25
"CE_18",3203,20.28,3.4
"CE_19",8383,53.09,2.78
"CE_20",12235,77.49,3.08
"CE_21",8200,51.93,3.2
"CE_22",7491,47.44,2.94
"CE_23",10133,64.17,3.1
"CE_24",4772,30.22,2.59
"CE_25",4507,28.54,3.38
"CE_26",5032,31.87,3.31
"CE_27",8397,53.18,2.59
"CE_28",10056,63.69,2.48
"CE_29",14646,92.75,3.2
"CE_30",4098,25.95,3.95
"GE_01",13152,83.29,3.13
"GE_02",9755,61.78,2.91
"GE_03",7343,46.5,2.96
"GE_04",7797,49.38,3.17
"GE_05",7598,48.12,3.29
"GE_06",6771,42.88,2.89
"GE_07",9704,61.46,2.98
"GE_08",6773,42.89,2.49
"GE_09",3098,19.62,2.62
"GE_10",7121,45.1,3.56
"GE_11",1684,10.66,3.85
"GE_12",1937,12.27,3.8
